userId,group,planetNo,attemptNo,timeAgreementScene,timeStartScene,timestableConfigScene,timestableScene
662c58127f3d4ebbb43ceb397bbabb85,U,3,0,48457,11433,-1,-1
f8c38f6874a94db5a3fd5e7d50619bc2,U,1,0,22506,45532,-1,-1
f8c38f6874a94db5a3fd5e7d50619bc2,U,2,0,22506,45532,-1,-1
f8c38f6874a94db5a3fd5e7d50619bc2,U,3,0,22506,45532,-1,-1
fda28ae2441643f48ccc6ad8619d3ae4,U,1,0,5424,88720,-1,-1
fda28ae2441643f48ccc6ad8619d3ae4,U,2,0,5424,88720,-1,-1
fda28ae2441643f48ccc6ad8619d3ae4,U,3,0,5424,88720,-1,-1
51964507adc04b89abaa923d9130ee63,U,1,0,2091,7357,-1,-1
51964507adc04b89abaa923d9130ee63,U,2,0,2091,7357,-1,-1
51964507adc04b89abaa923d9130ee63,U,3,0,2091,7357,-1,-1
39d6550eb2f54f0f8eb9f6237276ddc4,U,1,0,58810,57463,-1,-1
39d6550eb2f54f0f8eb9f6237276ddc4,U,2,0,58810,57463,-1,-1
39d6550eb2f54f0f8eb9f6237276ddc4,U,3,0,58810,57463,-1,-1
4a7eb3142e4a45409f14eb48b25d5c44,U,1,0,5678,100730,-1,-1
4a7eb3142e4a45409f14eb48b25d5c44,U,2,0,5678,100730,-1,-1
d4caf5404b7446ea88c1aaf2562cb5af,U,1,0,16201,8180,-1,-1
d4caf5404b7446ea88c1aaf2562cb5af,U,2,0,16201,8180,-1,-1
d4caf5404b7446ea88c1aaf2562cb5af,U,3,0,16201,8180,-1,-1
d60481e16107405fb2d5066805111e57,U,1,0,7593,6800,-1,-1
d60481e16107405fb2d5066805111e57,U,2,0,7593,6800,-1,-1
c9d579473f3544fab9845053d83635bd,U,1,0,49398,94254,-1,-1
c9d579473f3544fab9845053d83635bd,U,2,0,49398,94254,-1,-1
c9d579473f3544fab9845053d83635bd,U,3,0,49398,94254,-1,-1
9289b56808db4ae9a476558216b8117f,U,1,0,8922,9893,-1,-1
1a7b20c42ff14622bcf45e7ff823662d,U,1,0,9511,2017,-1,-1
1a7b20c42ff14622bcf45e7ff823662d,U,2,0,9511,2017,-1,-1
1dfeffea9d42414fa434e98577561756,U,1,0,38387,91030,-1,-1
1dfeffea9d42414fa434e98577561756,U,2,0,38387,91030,-1,-1
1dfeffea9d42414fa434e98577561756,U,3,0,38387,91030,-1,-1
046cfdefdf7e48c58feba39b6afb52a4,U,1,0,6122,2177,-1,-1
212e49e5507e4e2ba8f64ac175973e80,U,1,0,30963,6126,-1,-1
212e49e5507e4e2ba8f64ac175973e80,U,2,0,30963,6126,-1,-1
212e49e5507e4e2ba8f64ac175973e80,U,3,0,30963,6126,-1,-1
c719317cf07d43af9caa4034b410d2ce,U,1,0,1650,3797,-1,-1
c719317cf07d43af9caa4034b410d2ce,U,2,0,1650,3797,-1,-1
c719317cf07d43af9caa4034b410d2ce,U,3,0,1650,3797,-1,-1
5f6a49e7d31f43f18a923e06b4c69a17,U,1,0,79128,6703,-1,-1
5f6a49e7d31f43f18a923e06b4c69a17,U,2,0,79128,6703,-1,-1
5f6a49e7d31f43f18a923e06b4c69a17,U,3,0,79128,6703,-1,-1
984d1054056c4fda943689d82d911e7a,U,1,0,342634,14175,-1,-1
984d1054056c4fda943689d82d911e7a,U,2,0,342634,14175,-1,-1
61aff87f981c47a79c836d941d5566dc,U,1,0,15703962,12005,-1,-1
61aff87f981c47a79c836d941d5566dc,U,2,0,15703962,12005,-1,-1
61aff87f981c47a79c836d941d5566dc,U,3,0,15703962,12005,-1,-1
0b601e279b654f9e8367bebcf6218aa9,U,1,0,32159,37559,-1,-1
0b601e279b654f9e8367bebcf6218aa9,U,2,0,32159,37559,-1,-1
